Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2023-10-14,2023,Ahmedabad,Pakistan,2.0,1.0,86.0,63.0,6.0,6.0,136.5,caught,0
2023-10-19,2023,Pune,Bangladesh,2.0,1.0,48.0,40.0,7.0,2.0,120.0,caught,0
2023-10-22,2023,Dharamsala,New Zealand,2.0,1.0,46.0,40.0,4.0,4.0,115.0,bowled,0
2023-10-29,2023,Lucknow,England,1.0,1.0,87.0,101.0,10.0,3.0,86.13,caught,0
2023-11-02,2023,Wankhede,Sri Lanka,1.0,1.0,4.0,2.0,1.0,0.0,200.0,bowled,0
2023-11-05,2023,Eden Gardens,South Africa,1.0,1.0,40.0,24.0,6.0,2.0,166.66,caught,0
2023-11-12,2023,Bengaluru,Netherlands,1.0,1.0,61.0,54.0,8.0,2.0,112.96,caught,0
2023-11-15,2023,Wankhede,New Zealand,1.0,1.0,47.0,29.0,4.0,4.0,162.06,caught,0
2023-11-19,2023,Ahmedabad,Australia,1.0,1.0,47.0,31.0,4.0,3.0,151.61,caught,0
2024-08-02,2024,Colombo (RPS),Sri Lanka,2.0,1.0,58.0,47.0,7.0,3.0,123.4,lbw,0
2024-08-04,2024,Colombo (RPS),Sri Lanka,2.0,1.0,64.0,44.0,5.0,4.0,145.45,caught,0
2024-08-07,2024,Colombo (RPS),Sri Lanka,2.0,1.0,35.0,20.0,6.0,1.0,175.0,caught,0
2025-02-06,2025,Nagpur,England,2.0,2.0,2.0,7.0,0.0,0.0,28.57,caught,0
2025-02-09,2025,Cuttack,England,2.0,1.0,119.0,90.0,12.0,7.0,132.22,caught,0
2025-02-12,2025,Ahmedabad,England,1.0,1.0,1.0,2.0,0.0,0.0,50.0,caught,0
2025-02-20,2025,Dubai (DICS),Bangladesh,2.0,1.0,41.0,36.0,7.0,0.0,113.88,caught,0
2025-02-23,2025,Dubai (DICS),Pakistan,2.0,1.0,20.0,15.0,3.0,1.0,133.33,bowled,0
2025-03-02,2025,Dubai (DICS),New Zealand,1.0,1.0,15.0,17.0,1.0,1.0,88.23,caught,0
2025-03-04,2025,Dubai (DICS),Australia,2.0,1.0,28.0,29.0,3.0,1.0,96.55,lbw,0
2025-03-09,2025,Dubai (DICS),New Zealand,2.0,1.0,76.0,83.0,7.0,3.0,91.56,stumped,0
