Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2011-01-18,2011,Cape Town,South Africa,2.0,1.0,23.0,45.0,2.0,0.0,51.11,bowled,0
2011-01-21,2011,Gqeberha,South Africa,2.0,1.0,1.0,6.0,0.0,0.0,16.66,caught,0
2011-01-23,2011,Centurion,South Africa,2.0,2.0,5.0,8.0,1.0,0.0,62.5,bowled,0
2011-06-06,2011,Port of Spain,West Indies,2.0,5.0,68.0,75.0,3.0,1.0,90.66,not out,1
2011-06-08,2011,Port of Spain,West Indies,2.0,5.0,7.0,14.0,1.0,0.0,50.0,not out,1
2011-06-11,2011,North Sound,West Indies,2.0,5.0,86.0,91.0,5.0,2.0,94.5,not out,1
2011-06-13,2011,North Sound,West Indies,2.0,5.0,39.0,47.0,0.0,1.0,82.97,caught,0
2011-06-16,2011,Kingston,West Indies,1.0,5.0,57.0,72.0,2.0,1.0,79.16,bowled,0
2011-09-03,2011,Chester-le-Street,England,1.0,5.0,0.0,1.0,0.0,0.0,0.0,retired notout,0
2011-11-29,2011,Cuttack,West Indies,2.0,5.0,72.0,99.0,3.0,1.0,72.72,bowled,0
2011-12-02,2011,Visakhapatnam,West Indies,2.0,5.0,90.0,98.0,7.0,2.0,91.83,not out,1
2011-12-05,2011,Ahmedabad,West Indies,2.0,5.0,95.0,100.0,10.0,1.0,95.0,run out,0
2011-12-08,2011,Indore,West Indies,1.0,5.0,27.0,16.0,3.0,0.0,168.75,bowled,0
2011-12-11,2011,Chennai,West Indies,1.0,6.0,21.0,26.0,1.0,0.0,80.76,bowled,0
2012-02-05,2012,Melbourne,Australia,2.0,4.0,21.0,21.0,2.0,0.0,100.0,caught,0
2012-02-08,2012,W.A.C.A,Sri Lanka,2.0,4.0,10.0,17.0,1.0,0.0,58.82,caught,0
2012-02-12,2012,Adelaide,Australia,2.0,4.0,33.0,41.0,1.0,1.0,80.48,caught,0
2012-02-14,2012,Adelaide,Sri Lanka,2.0,4.0,15.0,27.0,2.0,0.0,55.55,run out,0
2012-02-19,2012,Brisbane,Australia,2.0,4.0,0.0,5.0,0.0,0.0,0.0,caught,0
2012-03-13,2012,Mirpur,Sri Lanka,1.0,,,,,,,-,0
2012-03-16,2012,Mirpur,Bangladesh,1.0,6.0,4.0,6.0,0.0,0.0,66.66,run out,0
2012-03-18,2012,Mirpur,Pakistan,2.0,4.0,68.0,83.0,5.0,1.0,81.92,caught,0
2012-07-21,2012,Hambantota,Sri Lanka,1.0,4.0,5.0,8.0,0.0,0.0,62.5,bowled,0
2012-07-24,2012,Hambantota,Sri Lanka,1.0,4.0,0.0,5.0,0.0,0.0,0.0,bowled,0
2012-07-28,2012,Colombo (RPS),Sri Lanka,2.0,5.0,0.0,1.0,0.0,0.0,0.0,lbw,0
2012-07-31,2012,Colombo (RPS),Sri Lanka,2.0,4.0,4.0,14.0,0.0,0.0,28.57,lbw,0
2012-08-04,2012,Pallekele,Sri Lanka,1.0,4.0,4.0,9.0,1.0,0.0,44.44,bowled,0
2012-12-30,2012,Chennai,Pakistan,1.0,5.0,4.0,14.0,0.0,0.0,28.57,caught,0
2013-01-23,2013,Mohali,England,2.0,2.0,83.0,93.0,11.0,1.0,89.24,lbw,0
2013-01-27,2013,Dharamsala,England,1.0,2.0,4.0,9.0,1.0,0.0,44.44,caught,0
2013-06-06,2013,Cardiff,South Africa,1.0,1.0,65.0,81.0,8.0,1.0,80.24,caught,0
2013-06-11,2013,The Oval,West Indies,2.0,1.0,52.0,56.0,7.0,0.0,92.85,caught,0
2013-06-15,2013,Birmingham,Pakistan,2.0,1.0,18.0,32.0,2.0,0.0,56.25,caught,0
2013-06-20,2013,Cardiff,Sri Lanka,2.0,1.0,33.0,50.0,4.0,0.0,66.0,bowled,0
2013-06-23,2013,Birmingham,England,1.0,1.0,9.0,14.0,1.0,0.0,64.28,bowled,0
2013-06-30,2013,Kingston,West Indies,1.0,1.0,60.0,89.0,4.0,1.0,67.41,caught,0
2013-07-02,2013,Kingston,Sri Lanka,2.0,1.0,5.0,13.0,0.0,0.0,38.46,caught,0
2013-07-05,2013,Port of Spain,West Indies,1.0,1.0,46.0,78.0,5.0,0.0,58.97,caught,0
2013-07-09,2013,Port of Spain,Sri Lanka,1.0,1.0,48.0,83.0,2.0,1.0,57.83,not out,1
2013-07-11,2013,Port of Spain,Sri Lanka,2.0,1.0,58.0,89.0,5.0,1.0,65.16,bowled,0
2013-07-24,2013,Harare,Zimbabwe,2.0,1.0,20.0,40.0,2.0,0.0,50.0,caught,0
2013-07-26,2013,Harare,Zimbabwe,1.0,1.0,1.0,7.0,0.0,0.0,14.28,caught,0
2013-07-28,2013,Harare,Zimbabwe,2.0,1.0,14.0,21.0,2.0,0.0,66.66,caught,0
2013-08-01,2013,Bulawayo,Zimbabwe,2.0,2.0,64.0,90.0,5.0,1.0,71.11,not out,1
2013-10-13,2013,Pune,Australia,2.0,2.0,42.0,47.0,6.0,0.0,89.36,caught,0
2013-10-16,2013,Jaipur,Australia,2.0,1.0,141.0,123.0,17.0,4.0,114.63,not out,1
2013-10-19,2013,Mohali,Australia,1.0,1.0,11.0,22.0,2.0,0.0,50.0,caught,0
2013-10-23,2013,Ranchi,Australia,2.0,1.0,9.0,13.0,1.0,0.0,69.23,not out,1
2013-10-30,2013,Nagpur,Australia,2.0,1.0,79.0,89.0,7.0,3.0,88.76,caught,0
2013-11-02,2013,Bengaluru,Australia,1.0,1.0,209.0,158.0,12.0,16.0,132.27,caught,0
2013-11-21,2013,Kochi,West Indies,2.0,1.0,72.0,81.0,8.0,1.0,88.88,caught,0
2013-11-24,2013,Visakhapatnam,West Indies,1.0,1.0,12.0,19.0,3.0,0.0,63.15,caught,0
2013-11-27,2013,Kanpur,West Indies,2.0,1.0,4.0,14.0,0.0,0.0,28.57,caught,0
2013-12-05,2013,Johannesburg,South Africa,2.0,1.0,18.0,43.0,2.0,0.0,41.86,run out,0
2013-12-08,2013,Durban,South Africa,2.0,1.0,19.0,26.0,2.0,0.0,73.07,caught,0
2013-12-11,2013,Centurion,South Africa,,,,,,,,-,0
2014-01-19,2014,Napier,New Zealand,2.0,1.0,3.0,23.0,0.0,0.0,13.04,caught,0
2014-01-22,2014,Hamilton,New Zealand,2.0,2.0,20.0,34.0,2.0,1.0,58.82,caught,0
2014-01-25,2014,Auckland,New Zealand,2.0,1.0,39.0,38.0,1.0,4.0,102.63,caught,0
2014-01-28,2014,Hamilton,New Zealand,1.0,1.0,79.0,94.0,6.0,4.0,84.04,caught,0
2014-01-31,2014,Wellington,New Zealand,2.0,1.0,4.0,13.0,0.0,0.0,30.76,caught,0
2014-02-26,2014,Fatullah,Bangladesh,2.0,1.0,21.0,29.0,1.0,1.0,72.41,bowled,0
2014-02-28,2014,Fatullah,Sri Lanka,1.0,1.0,13.0,28.0,1.0,0.0,46.42,lbw,0
2014-03-02,2014,Mirpur,Pakistan,1.0,1.0,56.0,58.0,7.0,2.0,96.55,caught,0
2014-03-05,2014,Mirpur,Afghanistan,2.0,3.0,18.0,24.0,1.0,0.0,75.0,not out,1
2014-08-27,2014,Cardiff,England,1.0,1.0,52.0,87.0,4.0,1.0,59.77,caught,0
2014-11-13,2014,Eden Gardens,Sri Lanka,1.0,2.0,264.0,173.0,33.0,9.0,152.6,caught,0
2014-11-16,2014,Ranchi,Sri Lanka,2.0,2.0,9.0,12.0,2.0,0.0,75.0,bowled,0
2015-01-18,2015,Melbourne,Australia,1.0,1.0,138.0,139.0,9.0,4.0,99.28,caught,0
2015-02-15,2015,Adelaide,Pakistan,1.0,1.0,15.0,20.0,2.0,0.0,75.0,caught,0
2015-02-22,2015,Melbourne,South Africa,1.0,1.0,0.0,6.0,0.0,0.0,0.0,run out,0
