Date,Year,Ground,Opposition,Inns,Pos,Runs,BF,4s,6s,SR,Dismissal,NotOut
2011-06-13,2011,North Sound,West Indies,2.0,3.0,22.0,33.0,1.0,0.0,66.66,stumped,0
2011-06-16,2011,Kingston,West Indies,1.0,3.0,94.0,104.0,10.0,0.0,90.38,run out,0
2011-09-03,2011,Chester-le-Street,England,1.0,4.0,55.0,73.0,4.0,0.0,75.34,bowled,0
2011-09-06,2011,Southampton,England,1.0,4.0,9.0,9.0,0.0,0.0,100.0,caught,0
2011-09-09,2011,The Oval,England,1.0,4.0,7.0,18.0,0.0,0.0,38.88,caught,0
2011-09-11,2011,Lord's,England,1.0,4.0,16.0,36.0,1.0,0.0,44.44,caught,0
2011-09-16,2011,Cardiff,England,1.0,4.0,107.0,93.0,9.0,1.0,115.05,hit wicket,0
2011-10-14,2011,Hyderabad,England,1.0,4.0,37.0,63.0,0.0,0.0,58.73,caught,0
2011-10-17,2011,Delhi,England,2.0,4.0,112.0,98.0,16.0,0.0,114.28,not out,1
2011-10-20,2011,Mohali,England,2.0,4.0,35.0,30.0,5.0,0.0,116.66,lbw,0
2011-10-23,2011,Wankhede,England,2.0,4.0,86.0,99.0,11.0,0.0,86.86,not out,1
2011-10-25,2011,Eden Gardens,England,1.0,3.0,0.0,5.0,0.0,0.0,0.0,bowled,0
2011-11-29,2011,Cuttack,West Indies,2.0,4.0,3.0,6.0,0.0,0.0,50.0,bowled,0
2011-12-02,2011,Visakhapatnam,West Indies,2.0,4.0,117.0,123.0,14.0,0.0,95.12,caught,0
2011-12-05,2011,Ahmedabad,West Indies,2.0,4.0,20.0,30.0,3.0,0.0,66.66,lbw,0
2011-12-08,2011,Indore,West Indies,1.0,6.0,23.0,11.0,3.0,0.0,209.09,not out,1
2011-12-11,2011,Chennai,West Indies,1.0,5.0,80.0,85.0,5.0,0.0,94.11,caught,0
2012-02-05,2012,Melbourne,Australia,2.0,3.0,31.0,34.0,3.0,0.0,91.17,caught,0
